Tháng thi dự kiến ;"Thời gian triển khai/đăng kí
(dự kiến)";Ngày thi dự kiến (nếu có) tính theo thứ tự từ trước đến sau;Tên cuộc thi;Mức độ;Có thể triển khai cấp Khối;Có vòng Quốc tế;Cuộc thi nội bộ FPT/FE;Môn thi/lĩnh vực thi;Đối tượng học sinh khối có thể dự thi;"Lệ phí dự thi nộp cho BTC
(VNĐ)";Ngôn ngữ thi (Tiếng việt/Tiếng anh/Khác);Bộ phận phụ trách;Cấp độ (Thành phố, Quận, Hệ thống FE/Fschools, Đơn vị tư nhân);Giá trị cuộc thi (Giao lưu quốc tế, huy chương, chứng nhận, tiền mặt, học bổng, minh chứng xét học bổng du học);Link contact hoặc website;;;;;;;;;;;;;;;
Tháng 9/2026;Tháng 08/2026;Tháng 09/2026;OXFORD BIG READ;Trung bình;Có;Có;;Tiếng Anh;K1 - K9;Miễn phí;Tiếng Anh;Tổ Tiếng Anh;Đơn vị tư nhân;Chứng nhận, quà tặng;https://elt.oup.com/feature/asia/big-read/?srsltid=AfmBOop8L-GsImQ7xbO0JLvbAL4tBY2TneTzOhqVxkwo9QSiW6nyVBF6&cc=vn&selLanguage=vi;;;;;;;;;;;;;;;
Tháng 9/2026;Tháng 08/2026;Tháng 09/2026;STEMPETITION;Khó;Có;Không;FE;STEM/Khoa học;K1 - K9;Miễn phí;Tiếng Việt;"Tổ STEM-Công nghệ
Tổ Tự Nhiên";Hệ thống FE/Fschools;Chứng nhận, tiền thưởng;KH của Fschool;;;;;;;;;;;;;;;
Tháng 9/2026;Tháng 09/2026;Tháng 10/2026;Kỳ thi Olympic Khoa học và Thiên văn quốc tế CISO 2026-2027;Khó;Không;Có;;KHTN;K1 - K9;590.000;Tiếng Anh;Tổ Tự nhiên;Quốc tế;Huy chương, chứng nhận, quà tặng;https://www.facebook.com/copernicusvn/;;;;;;;;;;;;;;;
Tháng 10/2026;Tháng 09/2026;Tháng 10/2026;Toán Đông Nam Á - Southeast Asian Mathematical Olympiad (SEAMO);Khó;Không;Có;;Toán;K1 - K9;450.000;Tiếng Anh;Tổ Tự nhiên;Quốc tế;"Huy chương; cơ hội thi SeamoX Quốc tế
Lưu ý: Cuộc thi có giá trị xem xét ưu tiên với HB ASEAN";www.seamo.edu.vn;;;;;;;;;;;;;;;
Tháng 10/2026;Tháng 09/2026;Tháng 10/2026;NEO Science Olympiad;Khó;Không;Có;;Toán/Khoa học/Tin học;K3 - K9;550,000 (vòng quốc gia);Tiếng Anh;"Tổ STEM-Công nghệ
Tổ Tự Nhiên";Quốc Tế/Grand Final;Huy chương, giấy chứng nhận thành tích;Tháng 11/2026;;;;;;;;;;;;;;;
Tháng 10/2026;Tháng 09/2026;Tháng 10/2026;American Mathematics Olympiad (AMO);Khó;Có;Có;;Toán;K2 - K9;450.000;Tiếng Anh;Tổ Tự nhiên;Quốc tế;"Huy chương
Lưu ý: Cuộc thi có giá trị xem xét ưu tiên với các HB Sing/HB ASEAN";https://tienphongedu.vn/events/amo/;;;;;;;;;;;;;;;
Tháng 10/2026;Tháng 05/2026;26/10/2026 (Thi Chung kết);Samsung Solve for Tomorrow 2026;Khó;Có;Không;;Công nghệ/Khoa học;K6 - K9;Miễn phí;Tiếng Việt;Tổ STEM-Công nghệ;Samsung;Giao lưu quốc tế, huy chương, tiền mặt;https://solvefortomorrow.vn/;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 11/2026;Tháng 11/2026;Olympic Tiếng anh trên Internet (IOE) cấp Trường;Trung bình;Có;Không;;Tiếng Anh;K2 - K9;Miễn phí;Tiếng Anh;Tổ Tiếng Anh;Trường;Chứng nhận;;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 10/2026;Tháng 10-11/2026;"Cuộc thi hát Tiếng Anh ""Light Up"" cấp trường";Trung bình;Có;Không;FE;Tiếng Anh, PDP;K1 - K9;Miễn phí;Tiếng Anh;Tổ PDP - Tổ Tiếng Anh;Cấp trường;Giấy chứng nhận;Kế hoạch của Fschool;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 10/2026;Tháng 10-11/2026;"Cuộc thi ""Võ nhạc"" cấp Trường";Năng khiếu;Có;Không;FE;Vovinam;K1 - K9;Miễn phí;Tiếng Việt;Tổ PDP;Trường;Tấm formex giải thưởng, quà, huy chương;Kế hoạch của Fschool;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 10/2026;Tháng 10-11/2026;"StemCo Fall
(Mùa Thu)";Trung bình;Không;Có;;STEM;K1 - K9;400.000;Tiếng Việt/Tiếng Anh;Tổ STEM-Công nghệ;Quốc gia;Huy chương và Giấy chứng nhận;https://tinyurl.com/StemCo25-ThongTinKyThi;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 10/2026;17-18/11/2026;Thử thách Toán học quốc tế IMC;Trung bình;Không;Có;;Toán;K1 - K9;750.000;Tiếng Anh;Tổ Tự nhiên;Quốc gia;"- Giải nhất: Ipad Air, giấy chứng nhận
 - Giải nhì: Ipad 9th Gen, giấy chứng nhận
 - Giải Ba: Galaxy tab, giấy chứng nhận
 - Các giải khác giấy chứng nhận
 - Giải vàng, bạc, đồng nhận giấy mời tham gia cuộc thi Toán tại ĐH Columbia, Hoa Kỳ.";https://www.facebook.com/profile.php?id=100075953179654;;;;;;;;;;;;;;;
